Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,PlSqu
Bournemouth,Max Aarons,1,eng ENG,DF,eng Premier League,24,2000,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,Max AaronsBournemouth
Valencia,Max Aarons,2,eng ENG,"DF,MF",es La Liga,24,2000,1.3,4,4,2,2,0,4,5,80.0,1,1,0,1,0,4,3,0,Max AaronsValencia
Valencia,Rodrigo Abajas,3,es ESP,DF,es La Liga,21,2003,0.7,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,Rodrigo AbajasValencia
Udinese,James Abankwah,4,ie IRL,"DF,MF",it Serie A,20,2004,1.0,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,James AbankwahUdinese
Marseille,Keyliane Abdallah,5,fr FRA,FW,fr Ligue 1,18,2006,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Keyliane AbdallahMarseille
Saint-Etienne,Yunis Abdelhamid,6,ma MAR,DF,fr Ligue 1,36,1987,11.5,17,11,15,2,0,10,16,62.5,6,26,18,8,14,31,57,1,Yunis AbdelhamidSaint-Etienne
Angers,Himad Abdelli,7,dz ALG,"MF,FW",fr Ligue 1,24,1999,31.6,48,32,13,20,15,15,48,31.3,33,24,1,23,26,74,28,2,Himad AbdelliAngers
Nice,Mohamed Abdelmoneim,8,eg EGY,DF,fr Ligue 1,25,1999,9.5,21,14,12,6,3,13,22,59.1,9,11,5,6,15,36,56,1,Mohamed AbdelmoneimNice
Nice,Ali Abdi,9,tn TUN,"DF,MF",fr Ligue 1,30,1993,15.5,43,25,18,14,11,28,43,65.1,15,20,6,14,20,63,37,0,Ali AbdiNice
Roma,Saud Abdulhamid,10,sa KSA,DF,it Serie A,25,1999,2.3,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0,Saud AbdulhamidRoma
Osasuna,Abel,11,es ESP,DF,es La Liga,23,2000,23.0,61,37,28,25,8,39,63,61.9,24,29,4,25,18,79,64,2,AbelOsasuna
Getafe,Nabil Aberdin,12,fr FRA,MF,es La Liga,21,2002,2.9,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0,Nabil AberdinGetafe
Como,Oliver Abildgaard,13,dk DEN,MF,it Serie A,28,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Oliver AbildgaardComo
Nantes,Matthis Abline,14,fr FRA,FW,fr Ligue 1,21,2003,30.8,11,5,2,4,5,3,9,33.3,6,15,1,14,4,15,36,1,Matthis AblineNantes
Lyon,Abner,15,br BRA,DF,fr Ligue 1,24,2000,12.1,29,20,12,10,7,21,32,65.6,11,15,2,13,5,34,41,0,AbnerLyon
Toulouse,Zakaria Aboukhlal,16,ma MAR,"MF,FW",fr Ligue 1,24,2000,21.1,22,13,7,8,7,4,23,17.4,19,16,1,15,6,28,9,0,Zakaria AboukhlalToulouse
Alaves,Abdel Abqar,17,ma MAR,DF,es La Liga,25,1999,27.4,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1,Abdel AbqarAlaves
Roma,Tammy Abraham,18,eng ENG,FW,it Serie A,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Tammy AbrahamRoma
