Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,PlSqu
Bournemouth,Max Aarons,1,eng ENG,DF,eng Premier League,24,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Max AaronsBournemouth
Valencia,Max Aarons,2,eng ENG,"DF,MF",es La Liga,24,2000,1.3,1,0.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Max AaronsValencia
Valencia,Rodrigo Abajas,3,es ESP,DF,es La Liga,21,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Rodrigo AbajasValencia
Udinese,James Abankwah,4,ie IRL,"DF,MF",it Serie A,20,2004,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,James AbankwahUdinese
Marseille,Keyliane Abdallah,5,fr FRA,FW,fr Ligue 1,18,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Keyliane AbdallahMarseille
Saint-Etienne,Yunis Abdelhamid,6,ma MAR,DF,fr Ligue 1,36,1987,11.5,6,0.55,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Yunis AbdelhamidSaint-Etienne
Angers,Himad Abdelli,7,dz ALG,"MF,FW",fr Ligue 1,24,1999,31.6,94,2.98,80,2,5,1,3,3,5,0.16,3,0,2,0,0,0,Himad AbdelliAngers
Nice,Mohamed Abdelmoneim,8,eg EGY,DF,fr Ligue 1,25,1999,9.5,8,0.84,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Mohamed AbdelmoneimNice
Nice,Ali Abdi,9,tn TUN,"DF,MF",fr Ligue 1,30,1993,15.5,45,2.91,33,3,4,4,0,1,3,0.19,1,1,0,1,0,0,Ali AbdiNice
Roma,Saud Abdulhamid,10,sa KSA,DF,it Serie A,25,1999,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,Saud AbdulhamidRoma
Osasuna,Abel,11,es ESP,DF,es La Liga,23,2000,23.0,39,1.69,29,2,5,0,1,2,4,0.17,2,0,1,0,0,1,AbelOsasuna
Getafe,Nabil Aberdin,12,fr FRA,MF,es La Liga,21,2002,2.9,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Nabil AberdinGetafe
Como,Oliver Abildgaard,13,dk DEN,MF,it Serie A,28,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Oliver AbildgaardComo
Nantes,Matthis Abline,14,fr FRA,FW,fr Ligue 1,21,2003,30.8,61,1.98,43,0,8,6,3,1,9,0.29,6,0,2,1,0,0,Matthis AblineNantes
Lyon,Abner,15,br BRA,DF,fr Ligue 1,24,2000,12.1,25,2.06,21,3,0,1,0,0,1,0.08,1,0,0,0,0,0,AbnerLyon
Toulouse,Zakaria Aboukhlal,16,ma MAR,"MF,FW",fr Ligue 1,24,2000,21.1,34,1.61,19,0,4,6,4,1,7,0.33,3,0,1,0,3,0,Zakaria AboukhlalToulouse
Alaves,Abdel Abqar,17,ma MAR,DF,es La Liga,25,1999,27.4,25,0.91,20,0,0,2,1,2,3,0.11,2,0,0,0,1,0,Abdel AbqarAlaves
Roma,Tammy Abraham,18,eng ENG,FW,it Serie A,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Tammy AbrahamRoma
Milan,Tammy Abraham,19,eng ENG,FW,it Serie A,26,1997,13.1,33,2.51,28,0,0,4,1,0,9,0.68,7,0,0,1,1,0,Tammy AbrahamMilan
Genoa,Federico Accornero,20,it ITA,MF,it Serie A,20,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Federico AccorneroGenoa
Inter,Francesco Acerbi,21,it ITA,DF,it Serie A,36,1988,19.0,20,1.05,20,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Francesco AcerbiInter
Chelsea,Joshua Acheampong,22,eng ENG,DF,eng Premier League,18,2006,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Joshua AcheampongChelsea
Sevilla,Akor Adams,23,ng NGA,FW,es La Liga,24,2000,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Akor AdamsSevilla
Montpellier,Akor Adams,24,ng NGA,FW,fr Ligue 1,24,2000,11.9,25,2.09,18,0,4,1,2,0,5,0.42,2,0,1,0,2,0,Akor AdamsMontpellier
Torino,Che Adams,25,sct SCO,FW,it Serie A,28,1996,29.5,63,2.14,49,1,0,8,5,0,5,0.17,4,0,0,1,0,0,Che AdamsTorino
Bournemouth,Tyler Adams,26,us USA,MF,eng Premier League,25,1999,21.8,41,1.88,35,0,0,1,1,4,4,0.18,3,0,0,0,0,1,Tyler AdamsBournemouth
Freiburg,Junior Adamu,27,at AUT,FW,de Bundesliga,23,2001,17.2,29,1.69,22,0,1,3,3,0,3,0.17,2,0,0,1,0,0,Junior AdamuFreiburg
Chelsea,Tosin Adarabioyo,28,eng ENG,DF,eng Premier League,26,1997,15.7,15,0.96,8,0,0,6,0,1,1,0.06,0,0,0,1,0,0,Tosin AdarabioyoChelsea
Reims,Martin Adeline,29,fr FRA,MF,fr Ligue 1,20,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Martin AdelineReims
Dortmund,Karim Adeyemi,30,de GER,"FW,MF",de Bundesliga,22,2002,15.9,57,3.58,35,1,12,6,2,1,11,0.69,7,0,3,1,0,0,Karim AdeyemiDortmund
Brighton,Simon Adingra,31,ci CIV,"FW,MF",eng Premier League,22,2002,12.2,47,3.86,33,0,6,8,0,0,7,0.57,5,0,1,1,0,0,Simon AdingraBrighton
