Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
Bournemouth,Max Aarons,1,eng ENG,DF,eng Premier League,24,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,Max AaronsBournemouth
Valencia,Max Aarons,2,eng ENG,"DF,MF",es La Liga,24,2000,1.3,2,0,0,0,2,0,5,0,4,0,0,0,7,2,1,66.7,Max AaronsValencia
Valencia,Rodrigo Abajas,3,es ESP,DF,es La Liga,21,2003,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,Rodrigo AbajasValencia
Udinese,James Abankwah,4,ie IRL,"DF,MF",it Serie A,20,2004,1.0,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,James AbankwahUdinese
Marseille,Keyliane Abdallah,5,fr FRA,FW,fr Ligue 1,18,2006,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Keyliane AbdallahMarseille
Saint-Etienne,Yunis Abdelhamid,6,ma MAR,DF,fr Ligue 1,36,1987,11.5,2,0,0,16,6,0,0,14,11,0,0,0,42,19,10,65.5,Yunis AbdelhamidSaint-Etienne
Angers,Himad Abdelli,7,dz ALG,"MF,FW",fr Ligue 1,24,1999,31.6,4,0,0,48,32,3,44,26,32,0,0,0,193,13,20,39.4,Himad AbdelliAngers
Nice,Mohamed Abdelmoneim,8,eg EGY,DF,fr Ligue 1,25,1999,9.5,2,0,0,9,10,0,2,15,14,0,0,0,50,31,19,62.0,Mohamed AbdelmoneimNice
Nice,Ali Abdi,9,tn TUN,"DF,MF",fr Ligue 1,30,1993,15.5,2,0,0,27,14,5,51,20,25,0,0,0,72,22,14,61.1,Ali AbdiNice
Roma,Saud Abdulhamid,10,sa KSA,DF,it Serie A,25,1999,2.3,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0,Saud AbdulhamidRoma
Osasuna,Abel,11,es ESP,DF,es La Liga,23,2000,23.0,3,0,0,25,32,3,85,18,37,0,1,0,106,20,17,54.1,AbelOsasuna
Getafe,Nabil Aberdin,12,fr FRA,MF,es La Liga,21,2002,2.9,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9,Nabil AberdinGetafe
Como,Oliver Abildgaard,13,dk DEN,MF,it Serie A,28,1996,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Oliver AbildgaardComo
Nantes,Matthis Abline,14,fr FRA,FW,fr Ligue 1,21,2003,30.8,3,0,0,34,53,5,30,4,5,0,0,0,83,64,76,45.7,Matthis AblineNantes
Lyon,Abner,15,br BRA,DF,fr Ligue 1,24,2000,12.1,1,0,0,16,4,0,31,5,20,0,0,0,45,7,9,43.8,AbnerLyon
Toulouse,Zakaria Aboukhlal,16,ma MAR,"MF,FW",fr Ligue 1,24,2000,21.1,4,0,0,35,25,13,33,6,13,2,0,0,61,22,38,36.7,Zakaria AboukhlalToulouse
Alaves,Abdel Abqar,17,ma MAR,DF,es La Liga,25,1999,27.4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3,Abdel AbqarAlaves
Roma,Tammy Abraham,18,eng ENG,FW,it Serie A,26,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Tammy AbrahamRoma
