League,Squad,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
EFL Championship,Leeds United,Joe Rodon,wls WAL,DF,26.0,45.9,5,0,0,29,34,0,1,29,25,0.0,2.0,0,185.0,119.0,81.0,59.5,Joe RodonLeeds United
EFL Championship,Leeds United,Jayden Bogle,eng ENG,DF,24.0,42.5,12,0,0,52,58,6,88,37,62,1.0,1.0,0,157.0,45.0,42.0,51.7,Jayden BogleLeeds United
EFL Championship,Leeds United,Brenden Aaronson,us USA,MF,23.0,39.5,1,0,0,43,67,5,61,8,33,0.0,0.0,0,122.0,23.0,57.0,28.8,Brenden AaronsonLeeds United
EFL Championship,Leeds United,Illan Meslier,fr FRA,GK,24.0,39.0,0,0,0,0,11,0,0,0,0,0.0,0.0,1,44.0,16.0,0.0,100.0,Illan MeslierLeeds United
EFL Championship,Leeds United,Ao Tanaka,jp JPN,MF,25.0,36.8,8,0,0,50,49,4,19,54,55,0.0,1.0,0,217.0,40.0,24.0,62.5,Ao TanakaLeeds United
EFL Championship,Leeds United,Joel Piroe,nl NED,FW,24.0,34.2,2,0,0,24,15,18,6,8,11,0.0,0.0,0,91.0,31.0,114.0,21.4,Joel PiroeLeeds United
EFL Championship,Leeds United,Pascal Struijk,nl NED,DF,24.0,31.4,3,0,0,26,21,1,1,28,24,0.0,0.0,0,124.0,113.0,69.0,62.1,Pascal StruijkLeeds United
EFL Championship,Leeds United,Junior Firpo,do DOM,DF,27.0,29.1,7,0,0,46,42,9,63,37,34,0.0,0.0,1,114.0,61.0,43.0,58.7,Junior FirpoLeeds United
EFL Championship,Leeds United,Daniel James,wls WAL,FW,26.0,29.0,4,0,0,22,37,10,169,4,14,2.0,0.0,0,76.0,23.0,37.0,38.3,Daniel JamesLeeds United
EFL Championship,Leeds United,Manor Solomon,il ISR,FW,25.0,28.8,3,0,0,13,43,15,143,12,24,0.0,0.0,0,130.0,0.0,10.0,0.0,Manor SolomonLeeds United
EFL Championship,Leeds United,Ethan Ampadu,wls WAL,"DF,MF",23.0,25.4,7,0,0,38,36,0,5,25,27,0.0,0.0,0,129.0,61.0,25.0,70.9,Ethan AmpaduLeeds United
EFL Championship,Leeds United,Wilfried Gnonto,it ITA,FW,20.0,25.3,5,0,0,30,62,14,45,13,13,0.0,0.0,0,91.0,18.0,26.0,40.9,Wilfried GnontoLeeds United
EFL Championship,Leeds United,Joe Rothwell,eng ENG,MF,29.0,25.0,2,0,0,9,13,1,176,25,13,0.0,0.0,0,92.0,12.0,9.0,57.1,Joe RothwellLeeds United
