League,Squad,Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,PlSqu
EFL Championship,Leeds United,Joe Rodon,wls WAL,DF,26.0,45.9,3468.0,3761.0,92.2,64679.0,22356.0,1162.0,1225.0,94.9,2030.0,2134.0,95.1,250.0,338.0,74.0,0,1.1,2.1,-1.1,14.0,250.0,4.0,0.0,291.0,Joe RodonLeeds United
EFL Championship,Leeds United,Jayden Bogle,eng ENG,DF,24.0,42.5,1788.0,2333.0,76.6,27842.0,9521.0,936.0,1057.0,88.6,725.0,921.0,78.7,85.0,217.0,39.2,4,6.9,5.9,-2.9,37.0,150.0,46.0,10.0,193.0,Jayden BogleLeeds United
EFL Championship,Leeds United,Brenden Aaronson,us USA,MF,23.0,39.5,1028.0,1293.0,79.5,13715.0,3018.0,627.0,728.0,86.1,302.0,366.0,82.5,34.0,64.0,53.1,2,5.7,6.0,-3.7,73.0,84.0,49.0,10.0,160.0,Brenden AaronsonLeeds United
EFL Championship,Leeds United,Illan Meslier,fr FRA,GK,24.0,39.0,1051.0,1325.0,79.3,23453.0,14614.0,246.0,247.0,99.6,642.0,649.0,98.9,159.0,420.0,37.9,0,0.1,0.0,-0.1,1.0,11.0,1.0,0.0,0.0,Illan MeslierLeeds United
EFL Championship,Leeds United,Ao Tanaka,jp JPN,MF,25.0,36.8,2379.0,2667.0,89.2,38200.0,10017.0,1250.0,1331.0,93.9,911.0,1011.0,90.1,165.0,226.0,73.0,2,2.6,3.9,-0.6,31.0,258.0,45.0,5.0,259.0,Ao TanakaLeeds United
EFL Championship,Leeds United,Joel Piroe,nl NED,FW,24.0,34.2,585.0,770.0,76.0,8523.0,1992.0,331.0,405.0,81.7,190.0,237.0,80.2,30.0,40.0,75.0,7,4.5,3.3,2.5,37.0,49.0,41.0,1.0,89.0,Joel PiroeLeeds United
EFL Championship,Leeds United,Pascal Struijk,nl NED,DF,24.0,31.4,2419.0,2685.0,90.1,41054.0,15147.0,1071.0,1138.0,94.1,1187.0,1269.0,93.5,123.0,203.0,60.6,0,0.5,1.1,-0.5,11.0,217.0,4.0,0.0,193.0,Pascal StruijkLeeds United
EFL Championship,Leeds United,Junior Firpo,do DOM,DF,27.0,29.1,1485.0,1840.0,80.7,21967.0,7139.0,842.0,944.0,89.2,552.0,663.0,83.3,51.0,106.0,48.1,10,6.6,5.4,3.4,47.0,102.0,28.0,6.0,158.0,Junior FirpoLeeds United
EFL Championship,Leeds United,Daniel James,wls WAL,FW,26.0,29.0,475.0,818.0,58.1,6915.0,2820.0,265.0,359.0,73.8,156.0,272.0,57.4,27.0,86.0,31.4,9,8.7,8.7,0.3,44.0,45.0,63.0,26.0,100.0,Daniel JamesLeeds United
EFL Championship,Leeds United,Manor Solomon,il ISR,FW,25.0,28.8,920.0,1141.0,80.6,13480.0,3457.0,548.0,606.0,90.4,298.0,369.0,80.8,45.0,90.0,50.0,12,12.0,10.3,0.0,67.0,43.0,67.0,13.0,111.0,Manor SolomonLeeds United
