Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
Bournemouth,Max Aarons,1,eng ENG,DF,eng Premier League,24,2000,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,Max AaronsBournemouth
Valencia,Max Aarons,2,eng ENG,"DF,MF",es La Liga,24,2000,1.3,66,54,12,1,0,0,5,11,0,0,0,0,47,0,1,Max AaronsValencia
Valencia,Rodrigo Abajas,3,es ESP,DF,es La Liga,21,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,Rodrigo AbajasValencia
Udinese,James Abankwah,4,ie IRL,"DF,MF",it Serie A,20,2004,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,James AbankwahUdinese
Marseille,Keyliane Abdallah,5,fr FRA,FW,fr Ligue 1,18,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Keyliane AbdallahMarseille
Saint-Etienne,Yunis Abdelhamid,6,ma MAR,DF,fr Ligue 1,36,1987,11.5,505,461,42,20,0,0,0,3,0,0,0,0,438,2,1,Yunis AbdelhamidSaint-Etienne
Angers,Himad Abdelli,7,dz ALG,"MF,FW",fr Ligue 1,24,1999,31.6,1672,1555,107,41,23,13,44,15,10,5,2,0,1373,10,31,Himad AbdelliAngers
Nice,Mohamed Abdelmoneim,8,eg EGY,DF,fr Ligue 1,25,1999,9.5,521,493,28,21,0,7,2,5,0,0,0,0,471,0,2,Mohamed AbdelmoneimNice
Nice,Ali Abdi,9,tn TUN,"DF,MF",fr Ligue 1,30,1993,15.5,678,551,122,12,0,2,51,110,0,0,0,0,502,5,22,Ali AbdiNice
Roma,Saud Abdulhamid,10,sa KSA,DF,it Serie A,25,1999,2.3,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3,Saud AbdulhamidRoma
Osasuna,Abel,11,es ESP,DF,es La Liga,23,2000,23.0,1071,847,220,14,3,2,85,206,0,0,0,0,776,4,47,AbelOsasuna
Getafe,Nabil Aberdin,12,fr FRA,MF,es La Liga,21,2002,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3,Nabil AberdinGetafe
Como,Oliver Abildgaard,13,dk DEN,MF,it Serie A,28,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Oliver AbildgaardComo
