League,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
EFL Championship,Leeds United,Joe Rodon,wls WAL,DF,26.0,45.9,3761.0,3665.0,88.0,54.0,7.0,1.0,1,14.0,0.0,0.0,0.0,0.0,3468.0,8.0,11.0,Joe RodonLeeds United
EFL Championship,Leeds United,Jayden Bogle,eng ENG,DF,24.0,42.5,2333.0,1838.0,491.0,56.0,6.0,2.0,88,434.0,1.0,0.0,0.0,0.0,1788.0,4.0,71.0,Jayden BogleLeeds United
EFL Championship,Leeds United,Brenden Aaronson,us USA,MF,23.0,39.5,1293.0,1249.0,31.0,10.0,12.0,1.0,61,4.0,16.0,7.0,6.0,0.0,1028.0,13.0,37.0,Brenden AaronsonLeeds United
EFL Championship,Leeds United,Illan Meslier,fr FRA,GK,24.0,39.0,1325.0,1117.0,203.0,84.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1051.0,5.0,1.0,Illan MeslierLeeds United
EFL Championship,Leeds United,Ao Tanaka,jp JPN,MF,25.0,36.8,2667.0,2569.0,90.0,80.0,3.0,13.0,19,10.0,0.0,0.0,0.0,0.0,2379.0,8.0,25.0,Ao TanakaLeeds United
EFL Championship,Leeds United,Joel Piroe,nl NED,FW,24.0,34.2,770.0,704.0,57.0,2.0,13.0,4.0,6,2.0,0.0,0.0,0.0,0.0,585.0,9.0,25.0,Joel PiroeLeeds United
EFL Championship,Leeds United,Pascal Struijk,nl NED,DF,24.0,31.4,2685.0,2572.0,105.0,61.0,4.0,2.0,1,15.0,0.0,0.0,0.0,0.0,2419.0,8.0,20.0,Pascal StruijkLeeds United
EFL Championship,Leeds United,Junior Firpo,do DOM,DF,27.0,29.1,1840.0,1531.0,301.0,24.0,2.0,4.0,63,277.0,0.0,0.0,0.0,0.0,1485.0,8.0,54.0,Junior FirpoLeeds United
EFL Championship,Leeds United,Daniel James,wls WAL,FW,26.0,29.0,818.0,799.0,17.0,1.0,5.0,1.0,169,6.0,10.0,5.0,4.0,0.0,475.0,2.0,51.0,Daniel JamesLeeds United
EFL Championship,Leeds United,Manor Solomon,il ISR,FW,25.0,28.8,1141.0,1057.0,74.0,15.0,6.0,2.0,143,5.0,53.0,37.0,9.0,0.0,920.0,10.0,30.0,Manor SolomonLeeds United
EFL Championship,Leeds United,Ethan Ampadu,wls WAL,"DF,MF",23.0,25.4,2236.0,2127.0,98.0,53.0,11.0,11.0,5,26.0,0.0,0.0,0.0,0.0,1996.0,11.0,9.0,Ethan AmpaduLeeds United
EFL Championship,Leeds United,Wilfried Gnonto,it ITA,FW,20.0,25.3,969.0,955.0,11.0,4.0,9.0,5.0,45,7.0,0.0,0.0,0.0,0.0,753.0,3.0,41.0,Wilfried GnontoLeeds United
EFL Championship,Leeds United,Joe Rothwell,eng ENG,MF,29.0,25.0,1863.0,1604.0,254.0,79.0,7.0,9.0,176,8.0,167.0,68.0,73.0,1.0,1592.0,5.0,15.0,Joe RothwellLeeds United
EFL Championship,Leeds United,Ilia Gruev,bg BUL,MF,24.0,18.9,1405.0,1287.0,115.0,46.0,4.0,0.0,79,1.0,68.0,43.0,18.0,0.0,1217.0,3.0,13.0,Ilia GruevLeeds United
