Squad,Player,Rk,Nation,Pos,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM_G,onG_G,onGA_G,+/-_G,+/-90_G,On-Off_G,onxG_xG,onxGA_xG,xG+/-_xG,xG+/-90_xG,On-Off_xG,PlSqu
Bournemouth,Max Aarons,1,eng ENG,DF,eng Premier League,24,2000,3,86,29,2.5,1.0,1,61,0,2,13,11,0.67,2,0,+2,+2.09,+1.82,2.3,0.3,+2.0,+2.12,+1.75,Max AaronsBournemouth
Valencia,Max Aarons,2,eng ENG,"DF,MF",es La Liga,24,2000,4,120,30,3.5,1.3,1,73,0,3,16,14,0.75,1,3,-2,-1.50,-1.28,1.5,3.7,-2.3,-1.69,-1.52,Max AaronsValencia
Leganes,Alvaro Abajas,3,es ESP,GK,es La Liga,21,2003,0,,,,,0,,0,0,,33,,,,,,,,,,,,Alvaro AbajasLeganes
Valencia,Rodrigo Abajas,4,es ESP,DF,es La Liga,21,2003,1,65,65,1.9,0.7,1,65,0,0,,8,0.00,1,2,-1,-1.38,-1.14,1.4,0.7,+0.7,+0.93,+1.18,Rodrigo AbajasValencia
Udinese,James Abankwah,5,ie IRL,"DF,MF",it Serie A,20,2004,6,88,15,2.6,1.0,0,,0,6,15,12,1.67,2,0,+2,+2.05,+2.50,0.6,1.5,-0.9,-0.91,-0.54,James AbankwahUdinese
Nott'ham Forest,Zach Abbott,6,eng ENG,DF,eng Premier League,18,2006,0,,,,,0,,0,0,,7,,,,,,,,,,,,Zach AbbottNott'ham Forest
Marseille,Keyliane Abdallah,7,fr FRA,FW,fr Ligue 1,18,2006,1,3,3,0.1,0.0,0,,0,1,3,7,3.00,0,0,0,0.00,-0.79,0.0,0.0,0.0,-0.49,-1.03,Keyliane AbdallahMarseille
Saint-Etienne,Yunis Abdelhamid,8,ma MAR,DF,fr Ligue 1,36,1987,16,1033,65,33.8,11.5,11,85,9,5,19,17,0.94,5,31,-26,-2.27,-1.73,8.0,26.4,-18.4,-1.67,-0.82,Yunis AbdelhamidSaint-Etienne
Celta Vigo,Jones El-Abdellaoui,9,ma MAR,FW,es La Liga,18,2006,0,,,,,0,,0,0,,9,,,,,,,,,,,,Jones El-AbdellaouiCelta Vigo
Angers,Himad Abdelli,10,dz ALG,"MF,FW",fr Ligue 1,24,1999,32,2842,89,92.9,31.6,32,89,25,0,,0,1.03,28,50,-22,-0.70,-1.11,30.8,54.2,-23.4,-0.74,-1.38,Himad AbdelliAngers
