Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,PlSqu
Bournemouth,Max Aarons,1,eng ENG,DF,eng Premier League,24,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,Max AaronsBournemouth
Valencia,Max Aarons,2,eng ENG,"DF,MF",es La Liga,24,2000,1.3,85,1,21,28,36,0,85,4,1,25.0,2,50.0,46,215,103,0,3,0,3,1,49,10,Max AaronsValencia
Valencia,Rodrigo Abajas,3,es ESP,DF,es La Liga,21,2003,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,Rodrigo AbajasValencia
Udinese,James Abankwah,4,ie IRL,"DF,MF",it Serie A,20,2004,1.0,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,James AbankwahUdinese
Marseille,Keyliane Abdallah,5,fr FRA,FW,fr Ligue 1,18,2006,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,Keyliane AbdallahMarseille
Saint-Etienne,Yunis Abdelhamid,6,ma MAR,DF,fr Ligue 1,36,1987,11.5,641,127,414,215,14,7,641,7,3,42.9,4,57.1,322,1732,837,4,1,0,8,3,393,3,Yunis AbdelhamidSaint-Etienne
Angers,Himad Abdelli,7,dz ALG,"MF,FW",fr Ligue 1,24,1999,31.6,1993,38,293,1149,597,49,1989,121,57,47.1,61,50.4,1183,7595,4388,107,90,17,55,51,1446,111,Himad AbdelliAngers
Nice,Mohamed Abdelmoneim,8,eg EGY,DF,fr Ligue 1,25,1999,9.5,635,70,260,331,46,3,635,4,1,25.0,2,50.0,342,1427,822,6,4,0,4,3,386,5,Mohamed AbdelmoneimNice
Nice,Ali Abdi,9,tn TUN,"DF,MF",fr Ligue 1,30,1993,15.5,886,51,230,349,315,50,886,29,12,41.4,16,55.2,391,1880,1003,35,15,9,32,14,481,101,Ali AbdiNice
Roma,Saud Abdulhamid,10,sa KSA,DF,it Serie A,25,1999,2.3,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,Saud AbdulhamidRoma
Osasuna,Abel,11,es ESP,DF,es La Liga,23,2000,23.0,1322,65,370,605,357,19,1322,35,18,51.4,13,37.1,605,3269,1792,50,44,7,27,18,683,92,AbelOsasuna
Getafe,Nabil Aberdin,12,fr FRA,MF,es La Liga,21,2002,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,Nabil AberdinGetafe
Como,Oliver Abildgaard,13,dk DEN,MF,it Serie A,28,1996,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Oliver AbildgaardComo
Nantes,Matthis Abline,14,fr FRA,FW,fr Ligue 1,21,2003,30.8,878,34,75,382,438,142,877,86,35,40.7,48,55.8,587,3670,1743,75,42,42,92,65,689,169,Matthis AblineNantes
