League,Squad,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,PlSqu
EFL Championship,Leeds United,Joe Rodon,wls WAL,DF,26.0,45.9,4182.0,258.0,1767.0,2292.0,134.0,37.0,4182.0,6.0,4.0,66.7,1.0,16.7,2646.0,13708.0,8262.0,56.0,22.0,0.0,12.0,3.0,3213.0,5.0,Joe RodonLeeds United
EFL Championship,Leeds United,Jayden Bogle,eng ENG,DF,24.0,42.5,2818.0,69.0,703.0,1341.0,807.0,129.0,2818.0,100.0,47.0,47.0,49.0,49.0,1447.0,8277.0,4383.0,123.0,81.0,27.0,61.0,31.0,1641.0,264.0,Jayden BogleLeeds United
EFL Championship,Leeds United,Brenden Aaronson,us USA,MF,23.0,39.5,1777.0,9.0,144.0,739.0,921.0,171.0,1777.0,110.0,51.0,46.4,54.0,49.1,1086.0,5865.0,2620.0,84.0,67.0,36.0,103.0,112.0,1336.0,243.0,Brenden AaronsonLeeds United
EFL Championship,Leeds United,Illan Meslier,fr FRA,GK,24.0,39.0,1380.0,998.0,1372.0,7.0,1.0,1.0,1380.0,1.0,1.0,100.0,0.0,0.0,939.0,4748.0,2636.0,0.0,0.0,0.0,1.0,0.0,852.0,0.0,Illan MeslierLeeds United
EFL Championship,Leeds United,Ao Tanaka,jp JPN,MF,25.0,36.8,3028.0,58.0,613.0,1895.0,550.0,33.0,3028.0,29.0,12.0,41.4,14.0,48.3,1767.0,7863.0,3553.0,38.0,51.0,3.0,34.0,26.0,2200.0,43.0,Ao TanakaLeeds United
EFL Championship,Leeds United,Joel Piroe,nl NED,FW,24.0,34.2,1108.0,27.0,82.0,488.0,546.0,148.0,1107.0,45.0,14.0,31.1,30.0,66.7,587.0,2783.0,1017.0,30.0,31.0,13.0,68.0,37.0,776.0,166.0,Joel PiroeLeeds United
EFL Championship,Leeds United,Pascal Struijk,nl NED,DF,24.0,31.4,3003.0,185.0,1237.0,1630.0,143.0,44.0,3000.0,6.0,1.0,16.7,4.0,66.7,1867.0,9174.0,4901.0,37.0,20.0,1.0,15.0,9.0,2184.0,11.0,Pascal StruijkLeeds United
EFL Championship,Leeds United,Junior Firpo,do DOM,DF,27.0,29.1,2199.0,75.0,517.0,978.0,718.0,110.0,2199.0,36.0,14.0,38.9,17.0,47.2,1070.0,4635.0,2478.0,66.0,49.0,16.0,29.0,23.0,1340.0,236.0,Junior FirpoLeeds United
EFL Championship,Leeds United,Daniel James,wls WAL,FW,26.0,29.0,1110.0,10.0,71.0,317.0,736.0,132.0,1110.0,68.0,25.0,36.8,33.0,48.5,709.0,5456.0,3049.0,117.0,57.0,43.0,37.0,37.0,821.0,301.0,Daniel JamesLeeds United
EFL Championship,Leeds United,Manor Solomon,il ISR,FW,25.0,28.8,1430.0,8.0,113.0,453.0,890.0,142.0,1430.0,129.0,70.0,54.3,45.0,34.9,971.0,6829.0,3552.0,144.0,68.0,58.0,59.0,30.0,1086.0,320.0,Manor SolomonLeeds United
