League,Squad,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PlSqu
EFL Championship,Leeds United,Joe Rodon,wls WAL,DF,26.0,45.9,1,21,2,9.5,0.46,0.04,0.05,0.5,10.3,0.0,0,0,1.2,1.2,0.06,-0.2,-0.2,Joe RodonLeeds United
EFL Championship,Leeds United,Jayden Bogle,eng ENG,DF,24.0,42.5,6,47,14,29.8,1.11,0.33,0.13,0.43,14.4,0.0,0,0,5.3,5.3,0.11,0.7,0.7,Jayden BogleLeeds United
EFL Championship,Leeds United,Brenden Aaronson,us USA,MF,23.0,39.5,9,86,26,30.2,2.18,0.66,0.1,0.35,16.5,3.0,0,0,11.3,11.3,0.13,-2.3,-2.3,Brenden AaronsonLeeds United
EFL Championship,Leeds United,Illan Meslier,fr FRA,GK,24.0,39.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Illan MeslierLeeds United
EFL Championship,Leeds United,Ao Tanaka,jp JPN,MF,25.0,36.8,5,43,11,25.6,1.17,0.3,0.12,0.45,20.5,0.0,0,0,3.6,3.6,0.08,1.4,1.4,Ao TanakaLeeds United
EFL Championship,Leeds United,Joel Piroe,nl NED,FW,24.0,34.2,19,101,39,38.6,2.95,1.14,0.18,0.46,14.8,2.0,1,1,16.9,16.2,0.16,2.1,1.8,Joel PiroeLeeds United
EFL Championship,Leeds United,Pascal Struijk,nl NED,DF,24.0,31.4,5,25,8,32.0,0.8,0.25,0.12,0.38,10.2,0.0,2,3,5.9,3.5,0.14,-0.9,-0.5,Pascal StruijkLeeds United
EFL Championship,Leeds United,Junior Firpo,do DOM,DF,27.0,29.1,4,28,10,35.7,0.96,0.34,0.14,0.4,11.1,0.0,0,0,4.1,4.1,0.15,-0.1,-0.1,Junior FirpoLeeds United
EFL Championship,Leeds United,Daniel James,wls WAL,FW,26.0,29.0,12,99,35,35.4,3.42,1.21,0.12,0.34,18.7,1.0,0,0,10.3,10.3,0.1,1.7,1.7,Daniel JamesLeeds United
EFL Championship,Leeds United,Manor Solomon,il ISR,FW,25.0,28.8,10,60,24,40.0,2.09,0.83,0.17,0.42,16.3,1.0,0,0,8.1,8.1,0.14,1.9,1.9,Manor SolomonLeeds United
EFL Championship,Leeds United,Ethan Ampadu,wls WAL,"DF,MF",23.0,25.4,0,11,2,18.2,0.43,0.08,0.0,0.0,23.8,0.0,0,0,0.6,0.6,0.05,-0.6,-0.6,Ethan AmpaduLeeds United
EFL Championship,Leeds United,Wilfried Gnonto,it ITA,FW,20.0,25.3,9,82,28,34.1,3.24,1.11,0.11,0.32,17.4,0.0,0,0,8.3,8.3,0.1,0.7,0.7,Wilfried GnontoLeeds United
EFL Championship,Leeds United,Joe Rothwell,eng ENG,MF,29.0,25.0,0,13,2,15.4,0.52,0.08,0.0,0.0,23.3,1.0,0,0,0.6,0.6,0.05,-0.6,-0.6,Joe RothwellLeeds United
EFL Championship,Leeds United,Ilia Gruev,bg BUL,MF,24.0,18.9,0,20,7,35.0,1.06,0.37,0.0,0.0,19.9,5.0,0,0,1.3,1.3,0.07,-1.3,-1.3,Ilia GruevLeeds United
EFL Championship,Leeds United,Sam Byram,eng ENG,DF,30.0,15.7,1,15,4,26.7,0.96,0.26,0.07,0.25,11.4,0.0,0,0,0.8,0.8,0.06,0.2,0.2,Sam ByramLeeds United
EFL Championship,Leeds United,Mateo Joseph,es ESP,FW,20.0,14.3,3,39,15,38.5,2.73,1.05,0.08,0.2,13.5,0.0,0,0,5.1,5.1,0.13,-2.1,-2.1,Mateo JosephLeeds United
EFL Championship,Leeds United,Largie Ramazani,be BEL,FW,23.0,8.9,6,36,16,44.4,4.07,1.81,0.17,0.38,18.9,0.0,0,0,4.7,4.7,0.13,1.3,1.3,Largie RamazaniLeeds United
EFL Championship,Leeds United,Karl Darlow,wls WAL,GK,33.0,7.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Karl DarlowLeeds United
EFL Championship,Leeds United,Maximilian Wober,at AUT,DF,26.0,3.7,1,11,2,18.2,2.96,0.54,0.09,0.5,17.3,1.0,0,0,0.7,0.7,0.06,0.3,0.3,Maximilian WoberLeeds United
EFL Championship,Leeds United,Georginio Rutter,fr FRA,"MF,FW",22.0,1.0,0,2,1,50.0,2.0,1.0,0.0,0.0,24.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Georginio RutterLeeds United
EFL Championship,Leeds United,Patrick Bamford,eng ENG,FW,30.0,2.8,0,12,2,16.7,4.29,0.71,0.0,0.0,12.0,0.0,0,0,2.2,2.2,0.18,-2.2,-2.2,Patrick BamfordLeeds United
