League,Squad,Player,PlSqu,Rk,Nation,Pos,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
Big5,Unknown Squad,Max Aarons,Max AaronsUnknown Squad,1,eng ENG,DF,eng Premier League,24,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Big5,Unknown Squad,Max Aarons,Max AaronsUnknown Squad,2,eng ENG,"DF,MF",es La Liga,24,2000,4,1,120,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Big5,Unknown Squad,Rodrigo Abajas,Rodrigo AbajasUnknown Squad,3,es ESP,DF,es La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
Big5,Unknown Squad,James Abankwah,James AbankwahUnknown Squad,4,ie IRL,"DF,MF",it Serie A,20,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Big5,Unknown Squad,Keyliane Abdallah,Keyliane AbdallahUnknown Squad,5,fr FRA,FW,fr Ligue 1,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Big5,Unknown Squad,Yunis Abdelhamid,Yunis AbdelhamidUnknown Squad,6,ma MAR,DF,fr Ligue 1,36,1987,16,11,1033,11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Big5,Unknown Squad,Himad Abdelli,Himad AbdelliUnknown Squad,7,dz ALG,"MF,FW",fr Ligue 1,24,1999,32,32,2842,31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.19,0.03,0.22,0.10,0.13,0.20,0.10,0.30,0.10,0.20
Big5,Unknown Squad,Mohamed Abdelmoneim,Mohamed AbdelmoneimUnknown Squad,8,eg EGY,DF,fr Ligue 1,25,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,52,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Big5,Unknown Squad,Ali Abdi,Ali AbdiUnknown Squad,9,tn TUN,"DF,MF",fr Ligue 1,30,1993,25,17,1393,15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.32,0.13,0.45,0.32,0.45,0.28,0.12,0.40,0.28,0.40
Big5,Unknown Squad,Saud Abdulhamid,Saud AbdulhamidUnknown Squad,10,sa KSA,DF,it Serie A,25,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.00,0.44,0.44,0.00,0.44,0.01,0.08,0.09,0.01,0.09
